SMILES,QEPPI Score,QED score,RO4 score,MW,MolLogP,SA score
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(N4CC(N5CCC5)C4C)c(F)c3)cc2F)ccn1,0.986031532,0.532713919,1,491.542,4.45562,3.317672297
Cc1ncccc1C(=O)Nc1cc(C(=O)Nc2ccc(N3CC(N4CCC4)C3C)c(F)c2)ccc1F,0.986031532,0.532713919,1,491.542,4.45562,3.296864681
Cc1ncccc1C(=O)Nc1cc(C(=O)Nc2ccc(N3CC(N4CCC4C)C3)cc2F)ccc1F,0.986031532,0.532713919,1,491.542,4.45562,3.003413722
CN(C)C1CCCN(c2ccc(NC(=O)c3ccc(F)c(NC(=O)c4ccccn4)c3)c(F)c2F)C1,0.986019611,0.523305548,0.75,497.521,4.5339,2.916725832
CN(C)C1CCN(c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cc3)nc2)C1,0.986015916,0.498568764,0.75,498.414,5.0333,2.738793779
Cc1cc(NC(=O)c2ccc(F)c(NC(=O)c3ccncc3)c2)cc(N2CC(C)C(N3CCC3)C2)c1,0.986005247,0.532972788,1,487.579,4.56412,3.227745815
CN(C)C1CCN(c2cc(NC(=O)c3ccc(Cl)c(NC(=O)c4cccnc4)c3)cc(F)c2F)C1,0.985996842,0.515677476,0.75,499.949,4.6581,2.880998923
Cc1cc(C(=O)Nc2ccc(F)c(NC(=O)c3ccc(Cl)cn3)c2)ccc1CN1CCN(C)CC1,0.985992789,0.528585119,0.75,495.986,4.43452,2.275060916
CC1CN(c2cc(F)cc(NC(=O)c3ccc(NC(=O)c4ccncc4)c(F)c3)c2)CC1N1CCC1,0.985968113,0.534813498,1,491.542,4.3948,3.256653055
Cc1ccc(NC(=O)c2cc(C(=O)Nc3c(F)cccc3F)nc(N3CCC(N(C)C)C3)c2)cc1F,0.985950947,0.526301498,0.75,497.521,4.45222,2.96731418
CN1CCCN(c2ccc(F)cc2NC(=O)c2ccc(NC(=O)C=Cc3ccco3)c(Cl)c2)CC1,0.985943794,0.463166882,0.75,496.97,5.1182,2.443146217
CN(C)C1CN(c2cc(Cl)cc(NC(=O)c3cccc(C(=O)Nc4ccc(Cl)cc4F)n3)c2)C1,0.985897243,0.507530759,0.75,502.377,4.7823,2.49193412
CN(C)C1CN(c2cc(NC(=O)c3ccc(Cl)c(NC(=O)c4cccnc4)c3)c(Cl)cc2F)C1,0.985897243,0.507530759,0.75,502.377,4.7823,2.412071272
CN1CCCN(c2cc(NC(=O)c3cccnc3)cc(C(=O)NCc3ccccc3C(F)(F)F)c2)C1,0.985876143,0.528671258,0.75,497.521,4.3821,2.571883806
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3cc(N4CCCC(N(C)C)C4)ccc3C)cc2C)ccn1,0.98586911,0.511423893,0.75,485.632,5.04186,2.804977774
Cc1ccc(NC(=O)c2cc(NC(=O)c3ccccn3)ccc2N2CC3CC2CN3C(C)C)c(C)c1,0.985819817,0.522891217,1,483.616,4.87434,3.91596167
CN1CCN(c2ccc(C(=O)NCc3ccc(Cl)cc3)cc2NC(=O)c2ccc(Cl)cn2)CC1,0.985803306,0.52956869,0.75,498.414,4.3225,2.192028356
Cc1cnccc1C(=O)Nc1cc(C(=O)NCc2ccc(F)cc2)ccc1N1CC2CSC(C2)C1,0.985715687,0.526135,1,490.604,4.65312,4.165092191
O=C(Nc1ccc(N2CCN(CC(F)(F)F)CC2)cc1C(=O)Nc1ccc(F)cc1)c1ccncc1,0.985691071,0.489702573,0.75,501.484,4.4096,2.322972042
CC(C)N1CC2CC2CN1c1ccc(C(=O)Nc2ccc(Cl)cc2)cc1NC(=O)c1ccccn1,0.985690892,0.489613654,1,490.007,5.3211,3.418220415
CC(=O)Nc1ccc(C(c2c(Cl)cccc2Cl)N2CCC(NC(=O)c3ccnn3C)CC2)cc1,0.985655606,0.515891497,0.75,500.43,4.6691,2.946905798
Cc1ccc(C)c(N2CC(C(=O)Nc3ccc(C(=O)N4CCC(Nc5cccc(F)c5)C4)cn3)C2)c1,0.985642135,0.544012334,1,487.579,4.23904,2.908750678
CN(C)C1CCN(c2cc(C(=O)Nc3ccc(F)cc3)cc(C(=O)Nc3ccccc3Cl)n2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.748416856
CN(C)C1CCN(c2ccc(F)c(NC(=O)c3ccc(NC(=O)c4ccncc4)c(Cl)c3)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.761374548
CN(C)C1CCN(c2cc(F)cc(NC(=O)c3ccc(Cl)cc3NC(=O)c3ccncc3)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.826158683
CN(C)C1CCN(c2cc(F)cc(NC(=O)c3ccc(Cl)c(NC(=O)c4ccncc4)c3)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.79373849
CN(C)C1CCN(c2ccc(F)c(NC(=O)c3ccc(NC(=O)c4cccnc4)c(Cl)c3)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.753899067
CN(C)C1CCN(c2ccc(F)c(NC(=O)c3ccc(NC(=O)c4cccnc4Cl)cc3)c2)C1,0.985553563,0.506112641,0.75,481.959,4.519,2.728515894
CN(C)C1CCN(c2cc(NC(=O)c3ccc(F)c(NC(=O)c4ccccn4)c3)ccc2Cl)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.76146974
CN(C)C1CCN(c2cc(F)cc(NC(=O)c3ccc(NC(=O)c4ccncc4)c(Cl)c3)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.809213009
CN(C)C1CCN(c2ccc(NC(=O)c3cc(Cl)ccc3NC(=O)c3ccncc3)c(F)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.765310606
CN(C)C1CCN(c2cc(F)cc(NC(=O)c3cc(NC(=O)c4ccncc4)ccc3Cl)c2)C1,0.985553563,0.541030558,0.75,481.959,4.519,2.802135606
Cc1ncccc1C(=O)Nc1ccc(C(=O)Nc2ccc(N3CC(N4CCC4)CC3C)c(F)c2)cc1F,0.985530019,0.501179846,1,505.569,4.84572,3.258274895
Cc1ccc(NC(=O)c2cnc(N3CCC(NC(=O)Cc4ccc(F)cc4F)CC3)s2)cc1F,0.985520184,0.537865583,0.75,488.535,4.44882,2.490458977
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2cc(NC(=O)c3ccoc3)ccc2Cl)cc1Cl,0.985490561,0.476825771,1,499.398,5.3738,3.33404081
O=C(Nc1ccccc1NC(=O)c1cccnc1)c1ccc(N2CCC(N3CCCCCC3)CC2)cc1,0.985435009,0.474832112,1,497.643,5.431,2.260459471
CN1CCN(c2ccc(C(=O)Nc3ccc(C(F)(F)F)cc3C(=O)NCc3ccco3)c(F)c2)CC1,0.985369146,0.4878433,0.75,504.484,4.3716,2.417607224
CN1CCN(c2ccc(-c3ccc(NC(=O)C4CC4)c(F)c3)cc2NC(=O)c2ccc(Cl)cn2)CC1,0.985296011,0.496317189,1,507.997,4.8937,2.379872947
CC1CN(c2ccc(F)c(NC(=O)c3ccc(Cl)cc3NC(=O)c3ccncc3)c2)CC1N1CCC1,0.985290527,0.495531256,1,507.997,4.9091,3.22545577
CC1CN(c2ccc(F)c(NC(=O)c3ccc(Cl)c(NC(=O)c4ccncc4)c3)c2)CC1N1CCC1,0.985290527,0.495531256,1,507.997,4.9091,3.194942648
CC1CN(c2cc(F)cc(NC(=O)c3ccc(Cl)cc3NC(=O)c3ccncc3)c2)CC1N1CCC1,0.985290527,0.495531256,1,507.997,4.9091,3.270480204
CC1CN(c2ccc(F)c(NC(=O)c3cc(Cl)ccc3NC(=O)c3ccncc3)c2)CC1N1CCC1,0.985290527,0.495531256,1,507.997,4.9091,3.22376844
Cc1nc(-c2cccc(C(=O)Nc3ccc(N4CCC4N(C)C)c(F)c3F)c2)cc(=NC(C)C)[nH]1,0.985284209,0.550980625,0.75,480.563,4.32252,3.706843462
CCN1CCN(c2ccc(C(=O)Nc3c(C)cccc3Cl)cc2NC(=O)c2cc(C)co2)CC1,0.985267222,0.506924631,0.75,480.996,5.19634,2.464283977
Cc1c(C(=O)Nc2cccnc2)cc(Cl)cc1C(=O)Nc1ccc(N2CC(N3CCC3)C2C)cc1F,0.985261738,0.492348979,1,507.997,4.96992,3.419102914
Cc1ncccc1C(=O)Nc1ccc(Cl)c(C(=O)Nc2ccc(N3CC(N4CCC4)C3C)c(F)c2)c1,0.985261738,0.492348979,1,507.997,4.96992,3.29312759
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(N4CC(N5CCC5)C4C)c(F)c3)cc2Cl)ccn1,0.985261738,0.492348979,1,507.997,4.96992,3.31552957
Cc1cc(C(=O)Nc2cc(N3CCC(N4CCC4)C3)ccc2Cl)cc(C(=O)Nc2cccc(F)c2)n1,0.985260785,0.492263609,1,507.997,4.97152,2.885445701
Cc1cc(C(=O)Nc2cc(F)cc(N3CCC(N4CCC4)C3)c2)cc(C(=O)Nc2cccc(Cl)c2)n1,0.985260785,0.492263609,1,507.997,4.97152,2.936202714
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CCC(N5CCC5)C4)cc3Cl)ccn2)cc1F,0.985260785,0.492263609,1,507.997,4.97152,2.855995475
CN(C)C1CCCN(c2cc(NC(=O)c3ccc(F)c(NC(=O)c4ccncc4)c3)ccc2F)C1,0.985237062,0.548323251,0.75,479.531,4.3948,2.767723427
CC1CC(N(C)C)CN1c1ccc(NC(=O)c2cc(C(=O)Nc3cccc(F)c3)ccn2)cc1F,0.985235274,0.548377934,0.75,479.531,4.3932,3.252685408
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CC(N(C)C)CC4C)c(F)c3)c(C)cn2)cc1F,0.985229075,0.490593456,0.75,507.585,5.01004,3.405787913
CC1C(N2CCC2C)CN1c1ccc(NC(=O)c2ccc(F)c(NC(=O)c3ccncc3)c2)cc1Cl,0.985206306,0.487976524,1,507.997,5.05,3.568089043
CCN1CCN(c2ncccc2C(=O)Nc2ccc(C)cc2C(=O)Nc2ccc(Cl)cc2)CC1,0.985205173,0.538219338,0.75,477.996,4.68992,2.153541759
CC1CC(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccncc3)c(Cl)c2)cc1F,0.985204935,0.487887145,1,507.997,5.0516,3.188903281
O=C(Nc1cccc(F)c1N1CCC(N2CCC2)CC1)c1ccc(Cl)c(NC(=O)c2ccccn2)c1,0.985203624,0.487797689,1,507.997,5.0532,2.409299305
CC(C)N1C2CCC1N(c1cc(F)cc(NC(=O)c3ccc(NC(=O)c4ccncc4)c(F)c3)c1)CC2,0.985161543,0.477172818,1,505.569,5.2734,4.123133166
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CCCN(C(C)C)CC4)cc3F)ccn2)cc1F,0.985160351,0.485936033,0.75,507.585,5.09332,2.409016915
Cc1ccc(NC(=O)c2cc(C(=O)Nc3cc(N4CCCN(C(C)C)CC4)ccc3F)ccn2)cc1F,0.985160351,0.485936033,0.75,507.585,5.09332,2.419370909
CC1CC(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccco3)cc2Cl)cc1,0.985145569,0.51440934,1,478.98,5.1105,3.112365954
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccccc3F)c(N3CCC(N(C)C)C3)cn2)cc1F,0.985134363,0.550989769,0.75,479.531,4.31312,2.902073335
Cc1ccc(C(=O)Nc2ccc(N3CCC(N(C)C)C3)c(F)c2F)cc1NC(=O)c1ccccn1,0.985134363,0.550989769,0.75,479.531,4.31312,2.870732989
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CC(N(C)C)C4C)c(F)c3)ccn2)cc1F,0.985132158,0.551039485,0.75,479.531,4.31152,3.312230249
COc1ccccc1C=C1CCN1c1cc(F)cc(C(=O)Nc2ccc(C(=O)N3CCNCC3)cc2)c1,0.985126913,0.525564772,1,500.574,4.3832,2.658575809
Cc1ccc(C(=O)Nc2ccc(N3CCN(C)CC3)c(F)c2F)cc1-c1cccc(C(=O)NC2CC2)n1,0.985092282,0.52443972,1,505.569,4.23152,2.518611885
O=C(Nc1cc(Cl)ccc1C(=O)Nc1ccc(N2CC(N3CCC3)C2)cc1F)c1ccncc1,0.985069752,0.551734197,1,479.943,4.273,2.344056092
CN1CCCN(c2ncccc2CNC(=O)c2ccc(NC(=O)c3ccc(Cl)cc3F)cc2)CCC1,0.984998465,0.50804556,0.75,510.013,4.5884,2.306474809
CC(=O)N1CCCN(c2ccc(F)cc2NC(C)c2cccc(NC(=O)c3cccnc3)c2)CC1,0.98494786,0.540259482,0.75,475.568,4.7047,2.759771749
Cc1ccc(NC(=O)c2cccnc2)cc1C(=O)Nc1cc(N2CCCC(N(C)C)C2)ccc1F,0.984887779,0.546459907,0.75,475.568,4.56412,2.766177973
Cc1cc(C(=O)Nc2cccnc2)cc(C(=O)Nc2cc(F)cc(N3CCCC(N(C)C)C3)c2)c1,0.984887779,0.546459907,0.75,475.568,4.56412,2.865522029
O=C(Nc1cc(N2CCC(N3CCC3)C2)ccc1Cl)c1cccc(NC(=O)c2ccccn2)c1,0.98485142,0.547612142,1,475.98,4.524,2.688877099
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(Cl)c(NC(=O)c3ccccn3)c2)cc1,0.984850228,0.547675446,1,475.98,4.5224,3.124050966
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3cccnc3Cl)cc2)cc1,0.984850228,0.512328671,1,475.98,4.5224,3.10103352
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccccn3)cc2)c(Cl)c1,0.984850228,0.547675446,1,475.98,4.5224,3.139207509
Cc1ccc(NC(=O)c2cc(N3CCC(N(C)C)C3)cc(C(=O)Nc3ccc(C)c(F)c3)n2)cc1,0.984826386,0.549694775,0.75,475.568,4.48244,2.831736286
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(Cl)c(NC(=O)c3ccncc3)c2)c(Cl)c1,0.984823763,0.478369702,1,510.425,5.1758,3.2270358
O=C(Nc1cc(Cl)ccc1C(=O)Nc1ccc(N2CCC(N3CCC3)C2)cc1Cl)c1cccnc1,0.984821796,0.478275226,1,510.425,5.1774,2.774505441
O=C(Nc1cc(N2CCC(N3CCC(NC(=O)c4ccccc4)CC3)C2)ccc1F)c1ccnc(F)c1,0.984817326,0.493913058,1,505.569,4.0852,2.898739412
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccncc3Cl)c(F)c2)c(F)c1,0.984764457,0.49689375,1,511.96,4.8006,3.345571611
Cc1ccc(NC(=O)c2cc(C(=O)Nc3cc(N4CC(N(C)C)CC4C)ccc3Cl)ccn2)cc1F,0.984763026,0.47637831,0.75,510.013,5.21592,3.314151001
Cc1cncc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(N3CC(N(C)C)CC3C)c(F)c2)c1,0.984763026,0.47637831,0.75,510.013,5.21592,3.331782693
Cc1ccc(C(=O)Nc2ccc(Cl)cc2)nc1C(=O)Nc1ccc(F)c(N2CCCC(N(C)C)C2)c1,0.984760821,0.476282202,0.75,510.013,5.21752,2.884920805
Cc1cc(C(=O)Nc2ccc(Cl)cc2)cc(C(=O)Nc2cc(N3CCCC(N(C)C)C3)ccc2F)n1,0.984760821,0.476282202,0.75,510.013,5.21752,2.859269777
Cc1cc(C(=O)Nc2ccc(N3CCCC(N(C)C)C3)cc2F)cc(C(=O)Nc2ccc(Cl)cc2)n1,0.984760821,0.476282202,0.75,510.013,5.21752,2.848608238
Cc1ccc(NC(=O)c2cnc(C(=O)Nc3cccc(Cl)c3)c(N3CCC(N(C)C)CC3)c2)cc1F,0.984760821,0.476282202,0.75,510.013,5.21752,2.482987117
Cc1cncc(C(=O)Nc2cc(Cl)ccc2C(=O)Nc2ccc(N3CCCC(N(C)C)C3)cc2F)c1,0.984760821,0.476282202,0.75,510.013,5.21752,2.890934971
Cc1cncc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2cc(N3CCC(N(C)C)CC3)ccc2F)c1,0.984760821,0.476282202,0.75,510.013,5.21752,2.46175452
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CCCC(N(C)C)C4)cc3Cl)ccn2)cc1F,0.984760821,0.476282202,0.75,510.013,5.21752,2.857630173
Cc1cncc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2cc(F)cc(N3CCC(N(C)C)CC3)c2)c1,0.984760821,0.476282202,0.75,510.013,5.21752,2.507224741
Cc1cncc(C(=O)Nc2ccc(C(F)(F)F)cc2NC(=O)CN2CCN(c3ccccc3C)CC2)c1,0.984751761,0.500531684,0.75,511.548,4.73024,2.380770761
Cc1ccc(NC(=O)c2ccnc(C(=O)Nc3ccc(N4CCCC(N(C)C)C4)c(F)c3F)c2)cc1F,0.984750032,0.495309446,0.75,511.548,4.84232,3.002075968
Cc1ccc(NC(=O)c2ccc(N3CCCC3)c(NC(=O)c3ccc(N4CCC4)nc3)c2)cc1F,0.984649777,0.535579445,1,473.552,4.84402,2.222405294
O=C(Nc1ccc(C(=O)Nc2ccc(N3CCC(N4CCC4)C3)cc2F)cc1)c1cncc(F)c1,0.984627485,0.557949897,1,477.515,4.1488,2.779159134
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)ccc2F)cc1F,0.984624445,0.55799043,1,477.515,4.1472,3.248182653
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccncc3)c(F)c2)c(F)c1,0.984624445,0.55799043,1,477.515,4.1472,3.246458178
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3cccnc3)c(F)c2)cc1F,0.984624445,0.55799043,1,477.515,4.1472,3.22816587
CC1CCN1C1CN(c2ccc(NC(=O)c3ccnc(C(=O)Nc4cccc(F)c4)c3)c(F)c2)C1,0.984624445,0.55799043,1,477.515,4.1472,2.976649302
CC(C)N1CC2CC2CN1c1ccc(C(=O)Nc2cccc(F)c2)cc1NC(=O)c1ccc(Cl)cn1,0.984578788,0.463007901,1,507.997,5.4602,3.528191064
Cc1c(Cl)cccc1NC(=O)c1ccc(N2CC3CC3CN2C(C)C)c(NC(=O)c2ccccn2)c1,0.984541893,0.455585381,1,504.034,5.62952,3.51104491
CC(=O)NC1CCN(Cc2cccc(F)c2-c2ccc(NC(=O)c3cc(C)nn3C)cc2F)CC1,0.984465003,0.557408381,0.75,481.547,4.02652,2.574099777
Cc1ccc(C(=O)Nc2ccc(C)c(NC(=O)CN3CCN(c4ccccn4)CC3)c2F)cc1C,0.984385371,0.559957491,0.75,475.568,4.15896,2.293305671
Cc1ccc(NC(=O)c2cc(C(=O)Nc3cc(N4CCC(N(C)C)C4)ccc3F)c(Cl)cn2)cc1F,0.98438412,0.48662233,0.75,513.976,4.96652,2.954448334
Cc1ncccc1C(=O)Nc1ccc(C(=O)Nc2ccc(N3CC(N4CCC4)C3C)c(F)c2)cc1,0.984339952,0.557789067,1,473.552,4.31652,3.193080555
